Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Hood Insulation Retainers,12072PK,"9/32"" (7.10mm) Hole Size 17mm Stem Length 28mm Head Diameter","9/32"" (7.10mm) Hole Size 17mm Stem Length 28mm Head Diameter Black Nylon",Black Nylon,25 Pcs.,G.M. # 15989431
Retainers Weatherstrip,15696PK,"5/16"" (8mm) Hole Size 16mm Stem Length 32mm Head Diameter","5/16"" (8mm) Hole Size 16mm Stem Length 32mm Head Diameter Black Nylon",Black Nylon,10 Pcs.,G.M. # 11611677
Retainers Weatherstrip,9863PK,"1/8"" (3.30mm) Hole Size 13/32"" Stem Length 3/8"" Head Diameter","1/8"" (3.30mm) Hole Size 13/32"" Stem Length 3/8"" Head Diameter Black Nylon Weatherstrip Retainers",Black Nylon,100 Pcs.,"G.M. # 8731909, 4841194"
Retainers Weatherstrip,18247PK,"9/64"" (3.50mm) Hole Size 7/16"" Stem Length 13/32"" Flange Diameter","9/64"" (3.50mm) Hole Size 7/16"" Stem Length 13/32"" Flange Diameter Black Nylon Weatherstrip Retainers",Black Nylon,100 Pcs.,G.M. # 4801268
Retainers Weatherstrip,10657PK,"11/64"" (4.20mm) Hole Size 12mm Stem Length 11mm Head Diameter","11/64"" (4.20mm) Hole Size 12mm Stem Length 11mm Head Diameter Black Nylon Weatherstrip Retainers General Motors",Black Nylon,50 Pcs.,Chrysler # 6104908-AA; G.M. # 20538173; Mercedes # 002-997-33-86
Retainers Weatherstrip,1991PK,"11/64"" (4.50mm) Hole Size 12mm Stem Length 4.75 x 13.50mm Head Size 3/16"" (4.80mm) Hole Size","11/64"" (4.50mm) Hole Size 12mm Stem Length 4.75 x 13.50mm Head Size Black Nylon Weatherstrip Retainers 3/16"" (4.80mm) Hole Size",Black Nylon,100 Pcs.,G.M. # 4876498
Retainers Weatherstrip,5605PK,"21/64"" Stem Length 7/16"" Head Diameter .080 - .200"" Panel Range","21/64"" Stem Length 7/16"" Head Diameter .080 - .200"" Panel Range Black Nylon Weatherstrip Retainers",Black Nylon,25 Pcs.,G.M. # 10169777
Retainers Weatherstrip,JL-32PK,"3/16"" (4.80mm) Hole Size 17/32"" Stem Length 3/8"" Head Diameter .125 - .310"" Panel Range","3/16"" (4.80mm) Hole Size 17/32"" Stem Length 3/8"" Head Diameter .125 - .310"" Panel Range Black Nylon Weatherstrip Retainers",Black Nylon,25 Pcs.,G.M. # 2964547
Retainers Weatherstrip,16451PK,"13/64"" (5mm) Hole Size 8mm Stem Length 6.50 x 14.00mm Head Size","13/64"" (5mm) Hole Size 8mm Stem Length 6.50 x 14.00mm Head Size Natural Nylon Weatherstrip Retainers",Natural Nylon,100 Pcs.,G.M. # 11611342
Door Weatherstrip Retainers,16448PK,"13/64"" (5mm) Hole Size 4.70 x 7.00mm Stem Size 6.50 x 14.00mm Top Head Size","13/64"" (5mm) Hole Size 4.70 x 7.00mm Stem Size 6.50 x 14.00mm Top Head Size Green Nylon",,25 Pcs.,G.M. # 11611664
Door Weatherstrip Retainers,2016PK,"13/64"" (5mm) Hole Size 10.50mm Stem Length 6.50 x 16.50mm Head Size","13/64"" (5mm) Hole Size 10.50mm Stem Length 6.50 x 16.50mm Head Size White Nylon Weatherstrip Retainers",White Nylon,50 Pcs.,Chrysler # 4696129; G.M. # 21077575
Door Weatherstrip Retainers,10664PK,"13/64"" (5mm) Hole Size 10.50mm Stem Length 10.90mm Top Head Diameter","13/64"" (5mm) Hole Size 10.50mm Stem Length 10.90mm Top Head Diameter Natural Nylon Weatherstrip Retainers",Natural Nylon,50 Pcs.,G.M.
Door Weatherstrip Retainers,JL-23PK,"13/64"" (5mm) Hole Size 11.50mm Stem Length 10mm Head Diameter .030 - .285"" Panel Range","13/64"" (5mm) Hole Size 11.50mm Stem Length 10mm Head Diameter .030 - .285"" Panel Range Black Nylon Weatherstrip Retainers",Black Nylon,50 Pcs.,G.M. # 20699808
Door Weatherstrip Retainers,5609PK,"13/64"" (5mm) Hole Size 5/8"" Stem Length 19/32"" Head Diameter .030 - .365"" Panel Range","13/64"" (5mm) Hole Size 5/8"" Stem Length 19/32"" Head Diameter .030 - .365"" Panel Range Black Nylon Weatherstrip Retainers",Black Nylon,50 Pcs.,Chrysler # 4658673; G.M. # 10293674
Retainers Weatherstrip,10974PK,"13/64"" (5mm) Hole Size 9mm Stem Length 5.00 x 15.00mm Head Size","13/64"" (5mm) Hole Size 9mm Stem Length 5.00 x 15.00mm Head Size Natural Nylon Weatherstrip Retainers General Motors",Natural Nylon,100 Pcs.,"G.M. # 10283414, 10405030"
Retainers Weatherstrip,10462PK,"15/64"" (6mm) Hole Size 15.50mm Stem Length 12.60mm Head Diameter .80 - 8.00mm Panel Range","15/64"" (6mm) Hole Size 15.50mm Stem Length 12.60mm Head Diameter .80 - 8.00mm Panel Range Black Nylon Weatherstrip Retainers",Black Nylon,50 Pcs.,Ford # N811040-S; G.M. # 10293193
Retainers Push Type,11906PK,"9/32"" (7.10mm) Hole Size 5/8"" Stem Length 1/2"" Head Diameter","9/32"" (7.10mm) Hole Size 5/8"" Stem Length 1/2"" Head Diameter Black Nylon Weatherstrip Retainers",Black Nylon,25 Pcs.,G.M. # 390126-S
Door Handle Attachment,10425PK,"13/64"" (5mm) Hole Size 10mm Stem Length 7mm Flange Diameter","13/64"" (5mm) Hole Size 10mm Stem Length 7mm Flange Diameter Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,G.M. # 21077405
Door Handle,9859PK,"13/64"" (5mm) Hole Size 10mm Stem Length 7mm Flange Diameter","13/64"" (5mm) Hole Size 10mm Stem Length 7mm Flange Diameter Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,G.M. # 21097229
Door Handle,1310PK,"13/64"" (5mm) Hole Size 15/32"" Stem Length 3/8"" Head Diameter","13/64"" (5mm) Hole Size 15/32"" Stem Length 3/8"" Head Diameter Black Nylon Tail Light Push Type Retainers",Black Nylon,25 Pcs.,Chrysler # 6500787; G.M. # 16500308
Body Side Moulding,16084PK,"7/32"" (5.60mm) Hole Size 12.70mm Stem Length 9.50mm Head Size","7/32"" (5.60mm) Hole Size 12.70mm Stem Length 9.50mm Head Size Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,G.M. # 20363491
Body Side Moulding,9947PK,"15/64"" (6mm) Hole Size 14mm Stem Length 14mm Head Diameter","15/64"" (6mm) Hole Size 14mm Stem Length 14mm Head Diameter Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,"G.M. # 21047094, 21110145"
Retainers Push Type,9617PK,"15/64"" (6mm) Hole Size 16mm Stem Length 17mm Flange Diameter","15/64"" (6mm) Hole Size 16mm Stem Length 17mm Flange Diameter Black Nylon Radiator & Fender Push Type Retainers General Motors",Black Nylon,25 Pcs.,Chrysler # 6506008-AA; Ford # W709176-S300; G.M. # 15149708
Retainers Push Type,9320PK,"15/64"" (6mm) Hole Size 23mm Stem Length 15mm Flange Diameter","15/64"" (6mm) Hole Size 23mm Stem Length 15mm Flange Diameter Black Nylon Push Type Fascia Retainers",Black Nylon,50 Pcs.,"Chrysler # 4857108; Ford # N803709S; G.M. # 15681408, 25642453"
Retainers Push Type,17598PK,"1/4"" (6.30mm) Hole Size 13mm Stem Length 15mm Flange Diameter","1/4"" (6.30mm) Hole Size 13mm Stem Length 15mm Flange Diameter Black Nylon Push Type Retainers",Black Nylon,10 Pcs.,"G.M. # 96057846; Hyundai # 86155-2200; Toyota # 90467-07041, 90467-07041-B2,"
Retainers Push Type,5675PK,"1/4"" (6.30mm) Hole Size 9/16"" Stem Length 11/16"" Flange Diameter","1/4"" (6.30mm) Hole Size 9/16"" Stem Length 11/16"" Flange Diameter Black Nylon Front Fender Mud Skirt & Liner Push Type Retainer",Black Nylon,50 Pcs.,"AMC # 8934-201-621; AMC/Jeep # 6503454; Chrysler # 34201621, 6504090; Ford # E308-4A163CA; G.M. # 14019205, 14019206"
Retainers Push Type,1087PK,"1/4"" (6.30mm) Hole Size 5/8"" Stem Length 11/16"" Flange Diameter","1/4"" (6.30mm) Hole Size 5/8"" Stem Length 11/16"" Flange Diameter Black Nylon Push Type Retainers",Black Nylon,50 Pcs.,Chrysler # 6031390; G.M. # 472434
Retainers Push Type,9559PK,"1/4"" (6.30mm) Hole Size 3/4"" Stem Length 19/32"" Flange Diameter","1/4"" (6.30mm) Hole Size 3/4"" Stem Length 19/32"" Flange Diameter Black Nylon Wheel Moulding Push Type Retainers",Black Nylon,25 Pcs.,"Chrysler # 6509103AA, 6509103-AA; Ford # W705436-S300; G.M. # 21077123, 20730531"
Retainers Push Type,2045PK,"1/4"" (6.30mm) Hole Size 13/16"" Stem Length 11/16"" Flange Diameter","1/4"" (6.30mm) Hole Size 13/16"" Stem Length 11/16"" Flange Diameter Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,"Chrysler # 6501925; Ford # F50C-9E728-AA; G.M. # 10134407, 15990756"
Retainers Push Type,18221PK,"1/4"" (6.30mm) Hole Size 7/8"" Stem Length 11/16"" Flange Diameter","1/4"" (6.30mm) Hole Size 7/8"" Stem Length 11/16"" Flange Diameter Black Nylon Body Push Type Retainers General Motors",Black Nylon,25 Pcs.,Chrysler # 34202672; Ford # N803362-S; G.M. # 20510029
Retainers Push Type,5935PK,"1/4"" (6.30mm) Hole Size 7/8"" Stem Length 1"" Flange Diameter","1/4"" (6.30mm) Hole Size 7/8"" Stem Length 1"" Flange Diameter Black Nylon Splash Shield Push Type Retainers N802781-S",Black Nylon,25 Pcs.,"Chrysler # 55176248; Ford # 802781-S, W704340-S300,; G.M. # 14093088"
Retainers Push Type,9745PK,"1/4"" (6.30mm) Hole Size 1 1/8"" Stem Length 3/4"" Flange Diameter","1/4"" (6.30mm) Hole Size 1 1/8"" Stem Length 3/4"" Flange Diameter Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,G.M. # 3540858
Retainers Push Type,10368PK,"1/4"" (6.50mm) Hole Size 17.50mm Stem Length 18mm Flange Diameter 2.00 - 4.50mm Panel Range","1/4"" (6.50mm) Hole Size 17.50mm Stem Length 18mm Flange Diameter 2.00 - 4.50mm Panel Range Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,Chrysler # 6508863AA; Ford # W713610-S300; G.M. # 11589289
Retainers Push Type,10369PK,"1/4"" (6.50mm) Hole Size 20mm Stem Length 18mm Flange Diameter 4.50 - 7.00mm Panel Range","1/4"" (6.50mm) Hole Size 20mm Stem Length 18mm Flange Diameter 4.50 - 7.00mm Panel Range Black Nylon Push Type Retainers",Black Nylon,50 Pcs.,Chrysler # 6509049-AA; Ford # W714040-S300; G.M. # 11589290
Retainers Push Type,10367PK,"1/4"" (6.50mm) Hole Size 22mm Stem Length 18mm Flange Diameter 7.00 - 9.50mm Panel Range","1/4"" (6.50mm) Hole Size 22mm Stem Length 18mm Flange Diameter 7.00 - 9.50mm Panel Range Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,Ford # W713331-S300; G.M. # 11589291
Retainers Push Type,12283PK,"1/4"" (6.50mm) Hole Size 22mm Stem Length 18mm Flange Diameter","1/4"" (6.50mm) Hole Size 22mm Stem Length 18mm Flange Diameter Black Nylon With Sealer Cowl Vent Retainers",Black Nylon,15 Pcs.,G.M. # 95230842
Retainers Push Type,10450PK,"9/32"" (7mm) Hole Size 7.50mm Stem Length 18mm Flange Diameter","9/32"" (7mm) Hole Size 7.50mm Stem Length 18mm Flange Diameter Black Nylon Front Fender Liner Push Type Retainers",Black Nylon,10 Pcs.,G.M. # 88970767; Toyota # 90467-10183
Retainers Push Type,18789PK,"9/32"" (7mm) Hole Size 9mm Stem Length 14mm Head Diameter","9/32"" (7mm) Hole Size 9mm Stem Length 14mm Head Diameter Black Nylon Push Type Retainers General Motors",Black Nylon,10 Pcs.,Ford # N807673-S; G.M. # 25612368
Retainers Push Type,14996PK,"9/32"" (7mm) Hole Size 12mm Stem Length 16mm Head Diameter","9/32"" (7mm) Hole Size 12mm Stem Length 16mm Head Diameter Black Nylon Liftgate & Garnish Moulding Push Type Retainers",Black Nylon,15 Pcs.,G.M. # 21035345
Retainers Push Type,10410PK,"9/32"" (7mm) Hole Size 14mm Stem Length 11mm Flange Diameter","9/32"" (7mm) Hole Size 14mm Stem Length 11mm Flange Diameter Black Nylon Radiator Grille Retainers",Black Nylon,10 Pcs.,"G.M. # 96057847, 94847334; Suzuki # 09409-07313, 90467-07313; Toyota # 90467-07066, 90467-07066-J0"
Retainers Push Type,13094PK,"9/32"" (7mm) Hole Size 14mm Stem Length 21mm Flange Diameter","9/32"" (7mm) Hole Size 14mm Stem Length 21mm Flange Diameter Black Nylon Headliner Push Type Retainers",Black Nylon,25 Pcs.,G.M. # 11547047
Retainers Push Type,9369PK,"9/32"" (7.10mm) Hole Size 7/8"" Stem Length 11/16"" Flange Diameter","9/32"" (7.10mm) Hole Size 7/8"" Stem Length 11/16"" Flange Diameter Black Nylon Exterior Body Push Type Retainers",Black Nylon,25 Pcs.,G.M. # 20590899
Retainers Push Type,10660PK,"5/16"" (8mm) Hole Size 9.30mm Stem Length 16mm Head Diameter","5/16"" (8mm) Hole Size 9.30mm Stem Length 16mm Head Diameter Black Nylon Weatherstrip Retainers",Black Nylon,50 Pcs.,G.M.
Retainers Push Type,10421PK,"5/16"" (8mm) Hole Size 10mm Stem Length 15mm Head Diameter","5/16"" (8mm) Hole Size 10mm Stem Length 15mm Head Diameter Natural Nylon With Sealer Radiator Grille Retainers",Natural Nylon,25 Pcs.,"G.M. # 94848834; Toyota # 62955-20020, 62955-12010"
Retainers Push Type,18167PK,"5/16"" (8mm) Hole Size 15mm Stem Length 20mm Head Diameter","5/16"" (8mm) Hole Size 15mm Stem Length 20mm Head Diameter Black Nylon Front Fender Retainers",Black Nylon,50 Pcs.,G.M. # 11546805
Retainers Push Type,5676PK,"5/16"" (8mm) Hole Size 13.50mm Stem Length 17mm Flange Diameter","5/16"" (8mm) Hole Size 13.50mm Stem Length 17mm Flange Diameter Black Nylon Radiator Push Type Retainers",Black Nylon,25 Pcs.,"Chrysler # 175720B010; Ford # 04388293; G.M. # 14071289, 14019226"
Retainers Push Type,12724PK,"5/16"" (8mm) Hole Size 15mm Stem Length 15.00 x 19.00mm Flange","5/16"" (8mm) Hole Size 15mm Stem Length 15.00 x 19.00mm Flange Black Nylon General Motors",Black Nylon,25 Pcs.,G.M. # 14032200
Retainers Push Type,15359PK,"5/16"" (8mm) Hole Size 19/32"" Stem Length 21/32"" Flange Diameter","5/16"" (8mm) Hole Size 19/32"" Stem Length 21/32"" Flange Diameter Black Nylon Push Type Retainer",Black Nylon,25 Pcs.,G.M. # 14039420
Retainers Push Type,10370PK,"5/16"" (8mm) Hole Size 16mm Stem Length 19mm Flange Diameter 5.00 - 7.00mm Panel Range","5/16"" (8mm) Hole Size 16mm Stem Length 19mm Flange Diameter 5.00 - 7.00mm Panel Range Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,Chrysler # 5116530AA; G.M. # 15296830
Retainers Push Type,1861PK,"5/16"" (8mm) Hole Size 20mm Stem Length 15mm Flange Diameter","5/16"" (8mm) Hole Size 20mm Stem Length 15mm Flange Diameter Black Nylon Rocker Panel Retainers",Black Nylon,25 Pcs.,Chrysler # 6504555; Ford # F3LB-14K056-AA; G.M. # 21075686
Retainers Push Type,1860PK,"5/16"" (8mm) Hole Size 20mm Stem Length 20mm Flange Diameter","5/16"" (8mm) Hole Size 20mm Stem Length 20mm Flange Diameter Black Nylon Air Baﬄe Push Type Retainers",Black Nylon,25 Pcs.,"Chrysler # 6503598; Ford # N807389S, 807389S; G.M. # 21030249, 15969147"
Retainers Push Type,5940PK,"5/16"" (8mm) Hole Size 7/8"" Stem Length 1"" Flange Diameter","5/16"" (8mm) Hole Size 7/8"" Stem Length 1"" Flange Diameter Black Nylon Splash Shield Push Type Retainers",Black Nylon,25 Pcs.,"Ford # N804614S, N803934-S; G.M. # 20570245, 20635065"
Retainers Push Type,10504PK,"5/16"" (8mm) Hole Size 26mm Stem Length 20mm Flange Diameter","5/16"" (8mm) Hole Size 26mm Stem Length 20mm Flange Diameter Black Nylon Fender Shield Push Type Retainers",Black Nylon,15 Pcs.,Ford # W708530-S300; G.M. # 11518017
Retainers Push Type,10669PK,"5/16"" (8mm) Hole Size 27mm Stem Length 16.50mm Flange Diameter","5/16"" (8mm) Hole Size 27mm Stem Length 16.50mm Flange Diameter Black Nylon Rear Wheel Apron & Bumper Push Type Retainers",Black Nylon,25 Pcs.,Chrysler # 04596357AA; G.M. # 15994165
Retainers Push Type,9357PK,"5/16"" (8mm) Hole Size 28mm Stem Length 20mm Flange Diameter","5/16"" (8mm) Hole Size 28mm Stem Length 20mm Flange Diameter Black Nylon Bumper Fascia Retainers General Motors",Black Nylon,25 Pcs.,G.M. # 21095797
Retainers Push Type,9184PK,"5/16"" (8mm) Hole Size 29mm Stem Length 15mm Head Diameter","5/16"" (8mm) Hole Size 29mm Stem Length 15mm Head Diameter Black Nylon Rocker Moulding Push Type Retainers",Black Nylon,25 Pcs.,"G.M. # 10207146, 21077323"
Retainers Push Type,10673PK,"5/16"" (8mm) Hole Size 30mm Stem Length 25mm Flange Diameter","5/16"" (8mm) Hole Size 30mm Stem Length 25mm Flange Diameter Black Nylon Bumper Cover Retainers",Black Nylon,10 Pcs.,"G.M. # 11561874; Nissan # 622A2-9E000A, 622A2-9E000"
Retainers Push Type,10239PK,"21/64"" (8.30mm) Hole Size 14mm Stem Length 19mm Flange Diameter 2.70 - 5.30mm Panel Range","21/64"" (8.30mm) Hole Size 14mm Stem Length 19mm Flange Diameter 2.70 - 5.30mm Panel Range Black Nylon Push Type Retainers",Black Nylon,50 Pcs.,Ford # W715537-S300; G.M. # 11609417
Retainers Push Type,13089PK,"21/64"" (8.50mm) Hole Size 12mm Stem Length 20mm Flange Diameter","21/64"" (8.50mm) Hole Size 12mm Stem Length 20mm Flange Diameter Black Nylon Front Fender & Body Side Liner Push Type Retainers",Black Nylon,25 Pcs.,G.M. # 11612035
Retainers Push Type,10371PK,"21/64"" (8.50mm) Hole Size 20.50mm Stem Length 20mm Flange Diameter 2.00 - 4.50mm Panel Range","21/64"" (8.50mm) Hole Size 20.50mm Stem Length 20mm Flange Diameter 2.00 - 4.50mm Panel Range Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,G.M. # 11589292
Retainers Push Type,10374PK,"21/64"" (8.50mm) Hole Size 22mm Stem Length 20mm Flange Diameter 4.50 - 7.00mm Panel Range","21/64"" (8.50mm) Hole Size 22mm Stem Length 20mm Flange Diameter 4.50 - 7.00mm Panel Range Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,Ford # W712196S300; G.M. # 11589293
Retainers Push Type,10372PK,"21/64"" (8.50mm) Hole Size 24mm Stem Length 20mm Flange Diameter 7.00 - 10.00mm Panel Range","21/64"" (8.50mm) Hole Size 24mm Stem Length 20mm Flange Diameter 7.00 - 10.00mm Panel Range Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,G.M. # 11589294
Retainers Push Type,13234PK,"23/64"" (9mm) Hole Size 13mm Stem Length 24.50mm Flange Diameter","23/64"" (9mm) Hole Size 13mm Stem Length 24.50mm Flange Diameter Black Nylon Sight Shield & Trim Push Type Retainers General Motors",Black Nylon,10 Pcs.,G.M. # 10382313
Retainers Push Type,10247PK,"23/64"" (9mm) Hole Size 21mm Stem Length 20mm Flange Diameter","23/64"" (9mm) Hole Size 21mm Stem Length 20mm Flange Diameter Black Nylon Rear Bumper Cover Push Type Retainers",Black Nylon,25 Pcs.,G.M. # 15153415
Retainers Push Type,9327PK,"23/64"" (9mm) Hole Size 28mm Stem Length 18mm Flange Diameter","23/64"" (9mm) Hole Size 28mm Stem Length 18mm Flange Diameter Black Nylon Rear Bumper Cover Push Type Retainers ~®·- - - - - - - - - - - - - -",Black Nylon,4 Pcs.,"G.M. # 94858560; Toyota # 52161-16010, 52161-02020,"
Retainers Push Type,5677PK,"3/8"" (9.50mm) Hole Size 11/16"" Stem Length 1"" Flange Diameter","3/8"" (9.50mm) Hole Size 11/16"" Stem Length 1"" Flange Diameter Black Nylon Fascia Blind Rivets",Black Nylon,25 Pcs.,Chrysler # 55074801; G.M. # 14045480
Retainers Push Type,9935PK,"3/8"" (9.50mm) Hole Size 18mm Stem Length 17mm Flange Diameter","3/8"" (9.50mm) Hole Size 18mm Stem Length 17mm Flange Diameter Black Nylon Front Bumper Fascia Push Type Retainers",Black Nylon,25 Pcs.,"G.M. # 1636632, 20687704"
Retainers Push Type,10375PK,"3/8"" (9.50mm) Hole Size 20mm Stem Length 18mm Flange Diameter 3.00 - 5.80mm Panel Range","3/8"" (9.50mm) Hole Size 20mm Stem Length 18mm Flange Diameter 3.00 - 5.80mm Panel Range Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,Chrysler # 6508712AA; G.M. # 11561368
Retainers Push Type,9370PK,"3/8"" (9.50mm) Hole Size 23mm Stem Length 18mm Flange Diameter","3/8"" (9.50mm) Hole Size 23mm Stem Length 18mm Flange Diameter Black Nylon Front Bumper Fascia Retainers",Black Nylon,25 Pcs.,"G.M. # 15993201, 10157900, 11517803"
